0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
99999625,99998912.90004939,100000015,99999925,99999970,99998767.15124261,99999652.15124261,99999210.01868048,99999650.85008581,99998694.01868048,99999968.5,99999970.0,99999985.0,99999968.5,99999930.43371893,99999865,99999880,99999895,99999865,99999865,100000041.06628107,100000000,100000041.06628107,100000041.06628107,100000056.06628107,100000180,100001132.5,100002928.95626631,100003085.7743293,100002745,99999195.48131952,99999049.04760058,99999301.59133427,99999098.74644378,99999489.11388165
99999880,99999805,99998886.03978446,99999970,100000030,100000810.6318685,100000915.99062932,100000954.45099382,100000735.94886695,100001457.91133493,99999982.0,99999958.0,99999972.93223366,100000000,99999987.93223366,99999914.60357037,99999896.60357037,99999907.10357037,99999914.60357037,99999921.60225415,100000036.0,100000036.0,100000036.0,100000036.0,100000015,99998718.67644884,99999857.41305439,99999766.0,99999599.92773975,99999859.37484379,99999815.73333496,99999833.18251088,99999782.82355116,99999762.22792877,99999944.28610651
99999916.39854899,99999865,99999865,99999895,99999730,100001781.45301026,100002295.9418472,100002189.43068415,100001841.4418472,100002076.98649943,99999973.34764312,100000000.0,99999937.01116306,99999937.01116306,99999973.34764312,99999970,99999985,99999970,99999970,99999985,100000049.48883694,100000049.48883694,100000049.48883694,100000047.98883694,100000046.48883694,99999355,100000433.34002541,100000240.4411541,100000070.32275902,99999790,99998106.04698974,99997998.04698974,99998053.24399884,99998456.174533,99998097.06931585
99999715,99999892.25834505,99999970,99999865,99999790,100002270.49434178,100002094.532359,100002186.93423553,100001960.01859213,100001989.98506859,99999973.60581832,99999965.09243666,99999995.5,99999995.5,99999997.0,99999986.38774674,100000055.8081439,99999971.70253952,100000025.53818636,99999952.40890624,100000031.5,100000078.8941228,100000000,100000000,100000000,99998900.59960818,99999370.990646,99999121.25005923,99999157.98218785,99999115.53341876,99999022.23103404,99998892.94812532,99999042.77588904,99998805.65454286,99998806.87364611
99999460,99999301.4286279,99999460,99999700,99999465.71938398,100000746.32026576,100000571.80394034,100000692.59559578,100000745.55825177,99999911.39651243,99999983.5,99999973.34102236,99999983.5,99999983.5,99999983.5,99999883.6648723,99999883.0,99999918.79839152,99999874.03318685,99999844.14087918,99999985,100000000,99999985,99999985,100000000,99999652.63032635,99999342.72246064,99999883.0,99999859.971564,99999194.62483892,100000659.47580256,100000526.17908964,100000351.86503986,100000522.95254207,100000685.77740581
100000083.57914883,100000060,100000262.2207879,99999985,100000336.58589262,100000125.13091183,99999693.46830821,99999380.2983911,100000002.96343255,99999823.46587038,99999925.66747928,99999937.66747928,99999940.66747928,99999922.66747928,99999922.66747928,99999918.33252072,99999918.33252072,99999903.33252072,99999933.33252072,99999918.33252072,100000075.83252072,100000078.83252072,100000090.83252072,100000059.33252072,100000059.33252072,100002409.2118462,100002217.0,100002385,100002175.09076828,100002430,99998025.53412962,99997463.87396383,99997643.53656745,99997807.8456858,99998085.03169179
100000045,100000210,99999805,100000060,100000105,99997448.5,99997801.5,99997862.5,99996436.5,99997894.0,99999978.0,99999978.0,99999978.0,99999978.0,99999978.0,99999679.5,99999681.0,99999634.5,99999679.0,99999649.5,100000022.0,100000022.0,100000022.0,100000005.5,100000007.0,100009280.36667572,99999804.5,100000442.5,100000122.25,100000428.5,100000837.13332428,100000527.5,100000772.0,100001130.25,100000695.0
99999175,99999505,100001335.0,100000795,99999880,99998920,99998770,99999145,99999235,99998770,100000000,100000000,100000000,100000000,100000000,99999821.5,99999793.0,99999826.0,99999809.5,99999824.5,99999985,99999985,99999985,99999985,99999985,99999505.0,99999850.0,100000076.5,99999517.0,100001123.5,100000805.5,100001020.0,100001108.5,100001143.0,100001321.5
99999850,99999859.00044374,99999910,100000030,99999475,100001906.388567,100001397.51840448,100001565.93700221,100001172.54914996,100001174.37908125,99999934.83243538,99999983.5,99999981.65242253,99999982.0,99999982.93346347,99999916.5064545,99999872.17126644,99999864.17126644,99999921.73780297,99999858.78095773,100000009.79281661,100000024.79281661,100000000,100000026.29281661,100000024.79281661,99998521.62155017,99999058.93847889,99996729.23791443,99999635.0,99999565.12155017,100000128.16966087,100000294.6645467,100000109.43804067,100000170.23931837,100000062.8389552
100000270,100000615,100000229.28137627,99999955,99999745,99997251.42728716,99996720.8644129,99996891.35561447,99996915.86441208,99997338.73634149,99999922.0,99999947.12690955,99999922.0,99999922.0,99999922.0,99999485.80905515,99999395.80905515,99999500.80905515,99999470.80905515,99999455.80905515,100000000,99999985,100000000,100000000,100000000,100004637.2718391,100003523.5,100003628.5,100003792.0,100003567.0,99999599.89936566,99999743.39056724,99999578.71838133,99999412.86387174,99999655.15434524
